Transfers of major conventional arms from All countries  to Australia  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 29 Aug 2025 3:01:25 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Australia,France,2005,,12,,NH-90 TTH,transport helicopter,12,?,2007; 2008; 2009; 2010,New,AUD1 b ($760 m) 'Project Air-9000 Phase-2' (offsets at least $233 m incl assembly of 8 in Australia); MRH-90 version,7,84,84
Australia,Germany,2021,,45,?,vehicle engine,vehicle engine,0,,,New,MTU MT-881 (1050hp) diesel engine for 30 K-9 self-propelled guns and 15 K-10 supply vechicles from South Korea,0.16,7.2,0
Australia,United States,2014,?,9,?,Mk-15 Phalanx,naval gun,9,?,2015; 2016; 2018; 2019; 2020; 2021,New,Australian Phalanx Block-1A rebuilt to Block-1B,7,63,63
Australia,United States,1987,,25,,S-70 Black Hawk,transport helicopter,25,,1989; 1990; 1991,New,Part of $202 m 'Project Air 5046'; S-70A-9 version,6.5,162.5,162.5
Australia,Norway,2024,,,,JSM,air-to-surface/anti-ship missile,0,,,New,AUD142 m ($96 m) 'Project Air-3023 Phase-2' programme; for F-35A combat aircraft,1.2,0,0
Australia,France,2022,,12,,FLASH,anti-submarine sonar,0,,,New,For 12 MH-60R anti-submarine helicopters from USA; from production line in USA,2,24,0
Australia,United States,2023,?,24,?,aircraft engine,aircraft engine,0,,,New,Rolls-Royce AE-2100D (4590hp) turboprop engine; spare engines for C-130J transport aircraft,1.5,36,0
Australia,Sweden,2010,,3,,Giraffe-AMB,air-search radar,3,,2012; 2013,New,SEK550 m ($86 m) 'Land-19 Phase-7A' deal (incl 1 on lease from 2011 until delivery of 3 ordered); for use in Afghanistan,7.5,22.5,22.5
Australia,United States,2022,,2040,?,GMLRS,guided rocket,0,,,New,For use with HIMARS multiple rocket launchers; probably incl production of components in Australia,0.08,163.2,0
Australia,United States,1980,,4,,F-111C,bomber aircraft,4,,1983,Second hand but modernized,Second-hand F-111A modernized for $15 m to F-111C before delivery; $42 m deal,33,132,132
Australia,United Kingdom,2015,,2,,air refuel system,air refuel system,2,,2018; 2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20
Australia,United Kingdom,1962,,2,,Scout,light helicopter,2,,1963,New,,0.8,1.6,1.6
Australia,United Kingdom,1961,,27,,Wessex HAS-1,anti-submarine helicopter,27,?,1962; 1963,New,GBP7 m deal; Wessex HAS-31 version,7.5,202.5,202.5
Australia,United Kingdom,2018,,6,?,Hunter,frigate,0,,,New,'SEA-5000' or 'Future Frigate' programme; produced under licence in Australia; delivery planned from 2031,0,0,0
Australia,United Kingdom,2012,,19,,UFH/M-777 155mm,towed gun,19,?,2014; 2015,New,$70 m deal; ordered via USA from US production line; M-777A2 version,1,19,19
Australia,United States,2002,,64,,Harpoon Block-2,anti-ship/land-attack missile,64,?,2006; 2008; 2010; 2014,New,AUD170 m ($96 m) 'Project Sea-1348'; RGM-84L Harpoon Block-2 version; for MEKO-200 (Anzac) frigates,1,64,64
Australia,Spain,2007,,2,,BPE,amphibious assault ship,2,,2014; 2015,New,AUD3 b ($2.4 m) 'Joint Project-2048 Phase-4A/B/C'; incl production under licence in Australia; Australian designation Canberra,479.5,959,959
Australia,France,1961,,110,,Mirage-3E,FGA aircraft,110,?,1963; 1964; 1965; 1966; 1967; 1968,New,Incl 49 Mirage-3OF; 51 Mirage-3OA and 10 Mirage-3OD versions; incl 108 assembled/produced under licence in Australia; Australian designation CA-29,12,1320,1320
Australia,United States,1970,,24,,F-4E Phantom-2,FGA aircraft,24,?,1970; 1971,Second hand,Second-hand; on lease until delivery of F-111 combat aircraft in 1973,10,240,240
Australia,New Zealand,1991,,6,,A-4K Skyhawk-2,FGA aircraft,6,,1991,Second hand,Leased from New Zealand and operated by New Zealand air force for training of Australian navy,5.6,33.6,33.6
Australia,Israel,2009,,10,?,Heron,UAV,10,?,2009,New,'Project Nankeen'; leased from producer via Canadian company; for use in Afghanistan,3,30,30
Australia,United States,2005,,3,,King Air,light transport aircraft,3,,2005; 2006,New,10-year lease (bought and owned by Australian company); King Air-350 version; incl for surveillance,2.85,8.55,8.55
Australia,United States,2011,,3,,Bell-429 GlobalRanger,light helicopter,3,,2012,New,AUD26 m ($24 m) 4-year lease; for training,2.8,8.4,8.4
Australia,United Kingdom,1989,,1,,Appleleaf,replenishment tanker,1,,1989,Second hand,Second-hand; on lease until bought in 1994; Australian designation Westralia,22,22,22
Australia,United Kingdom,1952,?,1,,Colossus,aircraft carrier,1,,1952,Second hand,Second-hand; on loan until delivery of new modified Majestic aircraft carrier in 1955,120,120,120
Australia,Sweden,1985,,100,?,RBS-70,portable SAM,100,?,1987,New,$12 m deal (incl 19 launchers),0.08,8,8
Australia,United States,2006,,500,?,AGM-114 Hellfire-2,anti-tank/air-to-surface missile,500,?,2006; 2007; 2008; 2009,New,AUD31 m ($25 m) deal; for AS-665 helicopters,0.05,25,25
Australia,United States,2006,,4,,C-17A Globemaster-3,heavy transport aircraft,4,,2006; 2007; 2008,New,AUD1.9 b ($1.5 b) deal (offsets AUD345 m),140,560,560
Australia,France,1965,,3,,Falcon-20,light transport aircraft,3,,1967,New,,7.3,21.9,21.9
Australia,United Kingdom,1946,,3,,Daring,destroyer,3,,1957; 1958; 1959,New,Australian designation Voyager; 1 more cancelled 1954,140,420,420
Australia,United Kingdom,1945,,2,,Battle,destroyer,2,,1950; 1951,New,Battle Batch-3 version; Australian designation Tobruk; 2 more cancelled,117.5,235,235
Australia,United States,1982,,7,,TPQ-36 Firefinder,artillery locating radar,7,?,1986; 1987,New,Incl production of components on Australia,3,21,21
Australia,United Kingdom,1951,?,143,?,Centurion-3,tank,143,?,1953; 1954; 1955; 1956,New,,1.35,193.05,193.05
Australia,Italy,2006,?,2,,A-109K,light helicopter,2,?,2007,New,For civilian company for training of Australian pilots; A-109E version,2.75,5.5,5.5
Australia,United States,1954,?,2,,CV-440,transport aircraft,2,,1955,New,For VIP transport,5,10,10
Australia,France,1977,,1,,Durance,replenishment ship,1,,1986,New,Australian designation Success,150,150,150
Australia,United Kingdom,1977,,15,,Fremantle,patrol boat,15,,1980; 1981; 1982; 1983; 1984,New,AUD140 m deal; incl 14 produced in Australia; plan for 5 more cancelled,12.3,184.5,184.5
Australia,United States,1971,,56,,Bell-206,light helicopter,56,?,1971; 1972; 1973; 1974; 1975; 1976; 1977,New,Bell-206B-1 version; 44 assembled/produced in Australia,0.7,39.2,39.2
Australia,United Kingdom,1948,?,70,,Vampire FB-5,fighter aircraft,70,?,1950; 1951; 1952; 1953,New,Incl 57 Vampire F-30 and 23 Vampire FB-31 version,3,210,210
Australia,United Kingdom,1945,?,29,?,Lincoln,bomber aircraft,29,,1950; 1951; 1952; 1953,New,Lincoln B-30 version; produced under licence in Australia,4.9,142.1,142.1
Australia,United States,1983,,2,,Perry,frigate,2,,1992; 1993,New,Australian designation Adelaide,300,600,600
Australia,United States,1981,,75,,F/A-18A Hornet,FGA aircraft,75,,1985; 1986; 1987; 1988; 1989; 1990,New,$2.8 b deal; 73 assembled from kits in Australia; incl 18 F/A-18B version,30,2250,2250
Australia,United Kingdom,1982,?,111,,L-118 105mm,towed gun,111,?,1987; 1988; 1989; 1990; 1991; 1992,New,$112 m 'Hamel' programme; incl 105 assembled/produced in Australia,0.6,66.6,66.6
Australia,United Kingdom,1997,,33,,Hawk-100,trainer/combat aircraft,33,?,2000; 2001,New,$494 m deal; Hawk-127 unarmed trainer version; incl 21 assembled in Australia,10,330,330
Australia,United States,2015,,6,,M-88A2 HERCULES,armoured recovery vehicle,6,,2016,New,,2,12,12
Australia,United States,2004,,59,,M-1A1 Abrams,tank,59,,2006; 2007,Second hand but modernized,Second-hand but modernized to M-1A1AIM(D) before delivery; AUD530-550 m ($420-475 m) 'Project Land-907',2.64,155.76,155.76
Australia,Sweden,2003,,150,?,RBS-70 Mk-3 Bolide,portable SAM,150,?,2003; 2004; 2005; 2006; 2007,New,SEK150 m ($18 m) deal (part of SEK600 m 'Project Land-19 Phase-6'),0.1,15,15
Australia,Germany,1989,,8,,MEKO-200ANZ,frigate,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,$2.7 b deal; Australian designation Anzac,251.25,2010,2010
Australia,United States,2002,,7,,King Air,light transport aircraft,7,?,2003; 2004,New,$170 m 10-year lease (bought and owned by Australian company); King Air-350 version; for training,2.85,19.95,19.95
Australia,United Kingdom,1977,,1,,Round Table,landing ship,1,,1981,New,AUD59 m deal; Australian designation Tobruk,50,50,50
Australia,United States,2003,?,150,?,Mk-48 Mod-5 ADCAP,anti-ship/anti-submarine torpedo,150,?,2007; 2008; 2009; 2010; 2011,New,AUD465 m ($280 m) 'Project Sea-1429 Phase-2'; Mk-48 Mod-7 CBASS version; for Collins submarines,1.6,240,240
Australia,United States,2020,?,200,,FGM-148 Javelin,anti-tank missile,200,?,2022,New,FGM-148E version,0.03,6,6
Australia,United States,2008,,41,?,vehicle engine,vehicle engine,41,?,2010,New,Caterpillar-3126 ATTAC (300hp) diesel engine for 41 Bushmaster armoured personnel carriers produced in Australia,0.03,1.23,1.23
Australia,Switzerland,1986,,67,,PC-9,(armed) trainer aircraft,67,,1987; 1988; 1989; 1990; 1991,New,$145 m deal (offsets 30%); unarmed PC-9/A version; incl 17 assembled and 48 produced under licence in Australia,1.9,127.3,127.3
Australia,United States,1993,,2,,Newport,landing ship,2,,1994,Second hand,Second-hand (but modernized and modified 1996-2000 in Australia after delivery); AUS70 m 'Joint Project-2027 Phase-1'; Australian designation Kanimbla,30.17,60.34,60.34
Australia,United States,2023,?,63,?,AGM-88E AARGM,anti-radar missile,0,,,New,AUD431 m deal; AARGM-ER version,0.6,37.8,0
Australia,Israel,2023,,,,Spike-LR-2,anti-tank missile,0,,,New,'Land 159 Lethality System' programme (part of 'Land-400 Phase-2' programme); for Boxer IFV; delivery planned from 2024,0.06,0,0
