Transfers of major conventional arms from All countries  to Australia  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 29 Aug 2025 3:01:25 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Australia,Canada,1955,?,5,,DHC-2 Beaver,light transport aircraft,5,?,1955; 1957; 1960; 1961,New,,0.38,1.9,1.9
Australia,United States,1975,?,100,?,Mk-48,anti-ship/anti-submarine torpedo,100,?,1977; 1978; 1979; 1980,New,For Oberon submarines,1.25,125,125
Australia,New Zealand,1968,,1,,Centurion ARV,armoured recovery vehicle,1,,1968,Second hand,Second-hand; Centurion-1 version; 7 more Centurion-5 tanks delivered for spares only,0.54,0.54,0.54
Australia,Israel,1995,,18,,EL/M-2022,maritime patrol aircraft radar,18,?,2002; 2003; 2004; 2005,New,Part of $372-495 m 'Project Air-5276' for modernization of 18 P-3C anti-submarine aircraft to AP-3C Sea Sentinel version,2.5,45,45
Australia,United States,2000,,71,,APG-73,combat aircraft radar,71,?,2002; 2003,New,AUD250 m deal; for modernization of 71 F/A-18 FGA aircraft,2,142,142
Australia,United States,2003,,676,?,FGM-148 Javelin,anti-tank missile,676,?,2005; 2006; 2007,New,AUD180 m ($100-110 m) 'Project Land-40-1',0.03,20.28,20.28
Australia,United Kingdom,2001,,20,,Rapier,SAM system,20,?,2002,Second hand but modernized,Second-hand; $8 m 'Project Land-140'; modernized to Rapier B-1M before delivery,4.62,92.4,92.4
Australia,United Kingdom,1973,?,5,?,Cymbeline,artillery locating radar,5,?,1974,New,,2.38,11.9,11.9
Australia,United Kingdom,1950,,2,,Squid,anti-submarine mortar,2,,1953,New,For modification of 1 Quilliam (Quadrant) destroyer to Type-15 frigate,1.5,3,3
Australia,United Kingdom,1950,,6,,AS-Mk-10 Limbo,anti-submarine mortar,6,,1954; 1955; 1957,New,For modification of 3 Quilliam (Quadrant) destroyers to Type-15 frigates,5,30,30
Australia,United States,1974,?,200,?,Mk-46,anti-submarine torpedo,200,?,1975; 1976; 1977; 1978,New,Incl for P-3 ASW/MP aircraft and surface combat ships,0.25,50,50
Australia,United States,2001,,10,?,FGM-148 Javelin,anti-tank missile,10,?,2001,New,For use by Australian forces in Afghanistan,0.03,0.3,0.3
Australia,United States,2003,,5,,PSTAR-ER,air-search radar,5,?,2004; 2005; 2006,New,Part of AUD110 m ($73 m) 'Project Land-19 Phase-6'; for use with RBS-70 MANPADS,0.75,3.75,3.75
Australia,United States,1964,?,200,?,Mk-44,anti-submarine torpedo,200,?,1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972,New,Incl for Ikara anti-submarine missile produced in Australia,0.15,30,30
Australia,United States,2004,,7,,M-88A2 HERCULES,armoured recovery vehicle,7,,2006; 2007,New,Part of AUD530-550 m ($420-475 m) 'Project Land-907',2,14,14
Australia,United States,1989,?,8,,LM-2500,gas turbine,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from Germany,7,56,56
Australia,United States,2022,,48,?,RQ-21 Blackjack,UAV,24,?,2024,New,AUS307 m ($223 m) 'Land-129 Phase-2' programme; Integrator version; produced under licence in Australia,0.07,3.36,1.68
Australia,United States,2021,?,75,,M-1A2 SEPv-3 Abrams,tank,46,,2024,New,Part of AUD3.5 b ($2.5 b) deal (incl 52 armoured support vehicles),5.2,390,239.2
Australia,United States,2021,?,17,,M-1074 JABS,armoured bridgelayer,0,,,New,Part of AUD3.5 b ($2.5 b) deal,1.25,21.25,0
Australia,United States,2021,?,29,,M-1150 ABV,armoured engineer vehicle,0,,,New,Part of AUD3.5 b ($2.5 b) deal,2.5,72.5,0
Australia,United States,2021,?,6,,M-88A2 HERCULES,armoured recovery vehicle,0,,,New,Part of AUD3.5 b ($2.5 b) deal,2,12,0
Australia,United States,2016,?,80,,Standard Missile-2MR,SAM,80,?,2020; 2021; 2022; 2023,New,SM-2 Block-3B version; probably for Hobart destroyers,0.3,24,24
Australia,United States,2018,?,,,ESSM Block-2,SAM,50,?,2022; 2023,New,Incl production of components in Australia (as part of NATO Sea Sparrow Consortium),0.6,0,30
Australia,United States,2012,,200,?,Mk-54 LWT,anti-submarine torpedo,200,?,2013; 2014; 2015; 2016,New,For MH-60R anti-submarine helicopters,0.5,100,100
Australia,United States,2021,,2,,P-8A Poseidon,anti-submarine aircraft,0,,,New,Incl production of components in Australia; delivery planned 2025,125,250,0
Australia,United States,2017,?,25,?,Harpoon Block-2,anti-ship/land-attack missile,25,?,2018; 2019; 2020; 2021; 2022,New,,1,25,25
Australia,United States,2014,?,169,,AIM-9X Sidewinder,long-range air-to-air missile,169,?,2019; 2020; 2021; 2022,New,For F-35A combat aircraft,0.18,30.42,30.42
Australia,Norway,2022,,,,NSM,anti-ship missile,5,?,2024,New,NSM Block-1A; for Hobart destroyers and ANZAC frigates,1,0,5
Australia,United States,2018,,10,?,AGM-88E AARGM,anti-radar missile,10,?,2020; 2022,New,,0.6,6,6
Australia,France,1989,,12,,TSM-2633 Spherion-B,anti-submarine sonar,12,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009,New,Spherion-B Mod-5 version for modernization of 4 Perry (Adelaide) and for 8 MEKO-200 (Anzac) frigates from Germany,5,60,60
Australia,France,1987,?,6,,Scylla,submarine sonar,6,,1996; 1998; 1999; 2001; 2003,New,For 6 Collins submarines from Sweden,15,90,90
Australia,Canada,1986,,67,?,aircraft engine,aircraft engine,67,?,1987; 1988; 1989; 1990; 1991,New,Pratt & Whitney Canada PT-6A-6C (950hp) turboprop engine for 67 PC-9 trainer aircraft from Switzerland,0.35,23.45,23.45
Australia,United States,1996,,20,,Mk-48,anti-ship/anti-submarine torpedo,20,?,1996; 1997,New,Second-hand; $1.8 m deal; Mk-48 Mod-4 version,1.25,25,25
Australia,United States,1998,,5,,Mk-48,anti-ship/anti-submarine torpedo,5,,1999,New,Second-hand; $0.4 m deal; Mk-48 Mod-4 version,1.25,6.25,6.25
Australia,United States,1999,?,299,?,vehicle engine,vehicle engine,299,?,2005; 2006; 2007,New,Caterpillar-3126 ATTAC (300hp) diesel engine for 299 Bushmaster armoured personnel carriers produced in Australia,0.03,8.97,8.97
Australia,United States,2019,?,108,?,AIM-120C AMRAAM,long-range air-to-air missile,108,?,2023; 2024,New,For NASAMS-2 SAM systems; AIM-120C-7 version,0.6,64.8,64.8
Australia,South Korea,2021,,30,,K-9 Thunder 155mm,self-propelled gun,0,,,New,AUD1 b ($667 m) 'Land-8116' Phase-1 programme; incl 28 produced under licence in Australia; Australian designation AS-9 Huntsman; delivery planned 2025-2027,4.5,135,0
Australia,South Korea,2021,,15,,K-10,armoured supply vehicle,0,,,New,Part of AUD1 b ($667 m) 'Land-8116' Phase-1 programme; inl 14 produced under licence in Australia; Australian designation AS-10 Huntsman; delivery planned 2025-2027,0.55,8.25,0
Australia,United States,2022,,16,,APG-78 Longbow,combat helicopter radar,0,,,New,For AH-64E combat helicopters,3,48,0
Australia,Spain,2007,,3,,Hobart,destroyer,3,,2017; 2018; 2020,New,AUD8.5-9.7 b ($7.2-8.2 b) 'Project Sea-4000' or 'Air Warfare Destroyer'; produced under licence in Australia,499,1497,1497
Australia,Norway,2019,,6,,NASAMS-2,SAM system,4,?,2023; 2024,New,AUD2.5 b ($1.6 b) 'Land-19 Phase-7B' ('Joint Project-117' or 'GBADWS') project; incl production of components in Australia,15,90,60
Australia,Germany,2018,,6,,OPV-80,patrol ship,0,,,New,'Sea-1180 Phase-1' programme; produced under licence in Australia; Australian designation Arafura; delivery planned from 2025,36,216,0
Australia,France,2004,,5,,A-330 MRTT,tanker/transport aircraft,5,?,2011; 2012,New,AUD1.4 b ($1.1 b) 'Project Air-5402'; delivered via Spain; incl 4 assembled in Australia; Australian designation KC-30A,98,490,490
Australia,United States,2004,?,10,,CF6,turbofan,10,,2011; 2012,New,For 5 A-330 MRTT tanker/transport aircraft from France,6,60,60
Australia,United States,2018,?,450,?,AIM-120D AMRAAM,long-range air-to-air missile,275,?,2019; 2020; 2021; 2022; 2023; 2024,New,For F-35A combat aircraft,0.8,360,220
Australia,United States,2022,?,15,,AGM-88E AARGM,anti-radar missile,0,,,New,,0.6,9,0
Australia,Netherlands,2014,,1,,Sycamore,training ship,1,,2017,New,For Australian company for training of Australian military; from Vietnamese production line,45,45,45
Australia,United States,2024,?,,,SM-6,SAM/ABM,0,,,New,For Hobart destroyers and Hunter frigates; selected but not yet ordered by end-2024,0,0,0
Australia,United States,2023,?,255,?,FGM-148 Javelin,anti-tank missile,0,,,New,FGM-148F version; possibly selected 2023 but not yet ordered by end-2024,0.03,7.65,0
Australia,Germany,2018,,78,,Boxer,armoured personnel carrier,18,?,2022; 2024,New,Part of AUD5.2 b ($3.5 b) 'Project Land-400 Phase-2' deal; incl production under licence of 66 in Australia; incl ambulance; command post; recovery and engineer versions; delivery planned 2022-2026,0.55,42.9,9.9
Australia,Germany,2018,,133,,Boxer,infantry fighting vehicle,22,?,2022; 2024,New,Part of AUD5.2 b ($3.5 b) 'Project Land-400 Phase-2' deal; incl production under licence of 120 in Australia; delivery planned 2022-2029,1.1,146.3,24.2
Australia,France,2006,,35,,NH-90 TTH,transport helicopter,35,?,2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018,New,AUD2 b ($1.5 b) 'Project Air-9000 Phase-3' or 'Project Air-9000 Phase-4' (incl 10 year support); assembled/produced under licence in Australia; MRH-90 version,7,245,245
Australia,United States,2023,?,220,?,BGM-109 Tomahawk,surface-to-surface missile,0,,,New,AUD1.3 b deal; incl 20 Tomahawk Block-4 and 200 Tomahawk Block-5 versions; for Hobart destroyers and probably for Hunter frigates and Virginia submarines,1,220,0
Australia,United States,2015,,2,,G-550 SIGINT,signals intelligence aircraft,0,,,New,Part of $1.6 b 'Project Air-555'; Australian designation MC-55A Peregrine,0,0,0
Australia,Switzerland,2015,,49,,PC-21,trainer aircraft,49,?,2017; 2018; 2019,New,AUD1.2 b ($900 m) 'Air-5428' programme for 7 years lease; owned and operated by civilian company for 'Pilot Training System' for training of Australian military,5,245,245
Australia,United States,2023,?,2,,Virginia,nuclear submarine,0,,,Second hand,Second-hand; part of 'AUKUS' agreement; Virginia Block-4 version; delivery planned 2032-2035; selected 2023 but not ordered by end-2024,0,0,0
Australia,United States,2013,?,600,?,AGM-114 Hellfire-2,anti-tank/air-to-surface missile,600,?,2014; 2015; 2016,New,For MH-60R helicopters; for anti-ship role,0.05,30,30
Australia,United States,2009,?,72,,F-35A Lightning-2,FGA aircraft,72,,2014; 2018; 2019; 2020; 2021; 2022; 2023; 2024,New,AUD16.5 b ($13.5 b) 'Project Air-6000' (incl production of components in Australia),55,3960,3960
Australia,United States,2014,,12,,P-8A Poseidon,anti-submarine aircraft,12,,2016; 2017; 2018; 2019; 2020,New,Incl production of components in Australia,125,1500,1500
Australia,Canada,2018,,3,,AW139,helicopter,3,,2019,Second hand,Second-hand; for Australian company for lease for SAR to Australian air force,2.4,7.2,7.2
Australia,Canada,2017,,3,,Alpha Jet,trainer/combat aircraft,3,,2017,Second hand,Second-hand; 2-year lease; owned and operated by Canadian company for training of Australian armed forces,3.6,10.8,10.8
Australia,France,2015,,2,,air refuel system,air refuel system,2,,2018; 2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20
Australia,Germany,2014,,15,,EC135,light helicopter,15,?,2015; 2016; 2017,New,H135T2+ (EC135T2+) version; ; owned and operated by civilian company for 'HATS' programme for training of Australian military,2.25,33.75,33.75
Australia,Germany,2015,,9,,ASR-NG,air-search radar,2,?,2020; 2024,New,EUR130 m 'Project Air-5431 Phase-2'; incl for civilian air traffic control; delivery planned 2023-2025,9,81,18
Australia,Canada,2015,?,49,?,aircraft engine,aircraft engine,49,?,2017; 2018; 2019,New,Pratt & Whitney Canada PT-6A-68B (1600hp) turboprop engine for 49 PC-21 trainer aircraft from Switzerland,0.5,24.5,24.5
Australia,United States,2015,?,1,,Bell-429 GlobalRanger,light helicopter,1,,2016,New,For training,2.8,2.8,2.8
Australia,United States,2007,?,50,?,AGM-154 JSOW,guided glide bomb,50,?,2009; 2010; 2011; 2012; 2014; 2015; 2016,New,AGM-154C and AGM-154C-1 versions,0.4,20,20
Australia,United States,2016,,500,?,WGU-59 APKWS,air-to-surface missile,500,?,2018,New,For Tiger combat helicopter,0.01,5,5
Australia,United States,2008,,3,,SPY-1F,air-search radar,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,20,60,60
Australia,United States,2007,?,3,,Type-2150,anti-submarine sonar,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,30,90,90
Australia,United States,2009,,3,,SPQ-9,fire-control radar,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,3.5,10.5,10.5
Australia,United States,2015,?,100,?,Mk-54 LWT,anti-submarine torpedo,100,?,2016; 2017; 2018; 2019,New,For P-8 anti-submarine aircraft,0.5,50,50
Australia,United States,2013,?,110,,AIM-120C AMRAAM,long-range air-to-air missile,110,?,2015; 2016,New,$202 m deal; AIM-120C-7 version,0.6,66,66
Australia,United States,2006,,3,,Mk-41 VLS,naval SAM system,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,20,60,60
Australia,Denmark,2018,,6,,Scanter-6000,air/sea-search radar,0,,,New,Scanter-6002 version; for 6 OPV-80 (Arafura) patrol ships from Germany,4.75,28.5,0
Australia,United States,2020,?,6,?,MQ-4C Triton,UAV,1,,2024,New,Part of AUD3-4 b 'Project JP-2062' or 'Air-7000 Phase-1B'; MQ-4CN version; delivery planned 2024-2025,35,210,35
Australia,United States,1982,,100,?,Harpoon Block-1,anti-ship missile,100,?,1984; 1985; 1986,New,Incl AGM-84A version for P-3C anti-submarine aircraft and F-111 and F/A-18 combat aircraft and UGM-84 version for Oberon submarines,0.9,90,90
Australia,United States,2023,,10,?,ATACMS Block-1A,surface-to-surface missile,0,,,New,For use with HIMARS multiple rocket launchers,2,20,0
Australia,United States,2007,?,100,?,ESSM,SAM,100,?,2017; 2018,New,For Hobart destroyers; incl production of components in Australia (as part of NATO Sea Sparrow Consortium),0.4,40,40
Australia,United States,2011,,24,,MH-60R Seahawk,anti-submarine helicopter,24,,2013; 2014; 2015; 2016,New,AUD2.6 b ($2.5 b) 'Project Air-9000 Phase-8' ($1.5 b offsets),16.5,396,396
Australia,United States,2022,,29,,AH-64E Apache,combat helicopter,0,,,New,'Land-4503 ARC' programme; delivery planned from 2025,15,435,0
Australia,United States,1963,,714,?,M-113,armoured personnel carrier,714,?,1964; 1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979,New,M-113A1 version; incl M-577A1 command post; M-125A1 81mm mortar carrier; recovery and other versions,0.25,178.5,178.5
Australia,United States,1995,,12,,C-130J Hercules,transport aircraft,12,,1999; 2000,New,$466-670 m'Project Air-5216'; C-130J-30 version; option on 12 more not used,40,480,480
Australia,United States,2023,?,20,,C-130J Hercules,transport aircraft,0,,,New,AUD9.8b ($6.6 b) 'Project Air-7404 Phase-1' deal; C-130J-30 version; delivery planned from 2027,40,800,0
Australia,United States,1959,?,600,?,AIM-9B Sidewinder,short-range air-to-air missile,600,?,1960; 1961,New,For F-86F (CA-27) combat aircraft,0.04,24,24
Australia,Netherlands,2024,,8,,LST-100,landing ship,0,,,New,'LCH' project; produced under licence in Australia; delivery planned from 2026,17.5,140,0
Australia,United States,2022,?,1,,EA-18G Growler,FGA/electronic warfare aircraft,1,,2023,Second hand,Probably second-hand,24,24,24
Australia,Spain,2016,,2,,Cantabria,replenishment ship,2,,2021,New,AUD642 m ($490 m) 'Project Sea-1654 Phase-3'; Australian designation Supply,124,248,248
Australia,United States,2022,?,40,,S-70 Black Hawk,transport helicopter,10,,2023; 2024,New,AUD2.8 b ($2 b) deal; UH-60M version; delivery planned 2023-2025,7.25,290,72.5
Australia,Germany,2007,?,4,,ship engine,ship engine,4,,2014; 2015,New,MAN 32/40-16V (10540hp) diesel engine for 2 BPE (Canberra) amphibious assault ships from Spain,3,12,12
Australia,Germany,2016,?,4,,ship engine,ship engine,4,?,2021,New,MAN 18V32/40 diesel engine for 2 Cantabria (Supply) replenishment ships from Spain; from production line in Spain,3,12,12
Australia,United States,2022,,42,,HIMARS,multiple rocket launcher,0,,,New,Delivery planned from 2026,1.1,46.2,0
Australia,United States,1992,,97,?,vehicle engine,vehicle engine,97,?,1994; 1995; 1996,New,Detriot Diesel 6V53T (275hp) diesel engine for 97 Piranha-2 (LAV-25 or ASLAV) infantry fighting vehicles and armoured personnel carriers from Canada,0.03,2.91,2.91
Australia,United States,1995,,14,,vehicle engine,vehicle engine,14,?,1996,New,Detriot Diesel 6V-53T (275hp) diesel engine for 14 Piranha-2 (LAV-25 or ASLAV) infantry fighting vehicles from Canada,0.03,0.42,0.42
Australia,United States,1998,,150,?,vehicle engine,vehicle engine,150,?,2002; 2003; 2004; 2005,New,Detroit Diesel 6V53T (275hp) diesel engine for 150 Piranha-2 (LAV-25 or ASLAV) infantry fighting vehicles and armoured personnel carriers from Canada,0.03,4.5,4.5
Australia,Sweden,1987,,6,,Collins,submarine,6,,1996; 1998; 1999; 2001; 2003,New,$2.8 b deal; produced under licence in Australia,245,1470,1470
Australia,United States,2012,,214,?,vehicle engine,vehicle engine,214,?,2012; 2013; 2014,New,Caterpillar-3126 ATTAC (300hp) diesel engine for 214 Bushmaster armoured personnel carriers from Ireland,0.03,6.42,6.42
Australia,France,2022,?,6,,ship engine,ship engine,0,,,New,Jeumont (±7200hp) electric motor for modernization of 6 Collins submarines,2.5,15,0
Australia,Germany,2022,?,18,?,ship engine,ship engine,0,,,New,MTU-4000 diesel engine for modernization of 6 Collins submarines,0.25,4.5,0
Australia,France,2022,?,6,,UMS-3000,submarine sonar,0,,,New,For modernization of 6 Collins submarines,0,0,0
Australia,United States,2015,,16,?,AGM-88E AARGM,anti-radar missile,16,?,2016; 2017,New,,0.6,9.6,9.6
Australia,United States,2009,?,5,,King Air,light transport aircraft,5,,2010,New,King Air-300 version; bought by and leased from Australian company,2.85,14.25,14.25
Australia,United States,2005,,100,?,JDAM,guided bomb,100,?,2007; 2008,New,'AIR-5409' programme,0.02,2,2
Australia,United States,1988,?,100,?,M-712 Copperhead,guided shell,100,?,1989,New,,0.03,3,3
Australia,Italy,1959,?,20,?,Model-56 105mm,towed gun,20,?,1960,New,Australian designation L-5 Pack Howitzer,0.45,9,9
Australia,Germany,2007,,144,?,DM-702 SMART-155,guided shell,144,,2008,New,AUD14 m 'JP-2085 Phase-1B' programme,0.04,5.76,5.76
Australia,United States,2013,?,4002,?,M-1156 PGK,guided shell,4002,?,2016; 2017; 2018,New,,0.03,120.06,120.06
