Transfers of major conventional arms from Australia   to All countries . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 28 Aug 2025 4:07:21 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Netherlands,Australia,2007,,11,?,Bushmaster,armoured personnel carrier,11,?,2007; 2008,New,EUR8.5 m deal; for use in Afghanistan,0.32,3.52,3.52
Netherlands,Australia,2009,,9,,Bushmaster,armoured personnel carrier,9,,2009,New,$15 m deal; for use in Afghanistan,0.32,2.88,2.88
Netherlands,Australia,2008,,13,,Bushmaster,armoured personnel carrier,13,,2008,New,EUR15 m deal; for use in Afghanistan,0.32,4.16,4.16
Netherlands,Australia,1962,,2,,C-47 Skytrain,transport aircraft,2,,1962,Second hand,Second-hand,1,2,2
Netherlands,Australia,2015,,12,,Bushmaster,armoured personnel carrier,12,?,2016; 2017,New,,0.32,3.84,3.84
Netherlands,Australia,2009,,14,,Bushmaster,armoured personnel carrier,14,,2009,New,EUR11 m deal; for use in Afghanistan,0.32,4.48,4.48
Netherlands,Australia,2020,,6,,Bushmaster,armoured personnel carrier,6,,2021,New,AUD14 m ($8.8 m) deal; incl 5 ambulance version,0.32,1.92,1.92
New Zealand,Australia,2020,,43,,Bushmaster,armoured personnel carrier,43,,2023,New,NZD103 m deal ($68 m),0.32,13.76,13.76
New Zealand,Australia,2015,,5,,Bushmaster,armoured personnel carrier,5,,2018,Second hand,Second-hand,0.14,0.7,0.7
New Zealand,Australia,2013,,20,?,Penguin-2,anti-ship missile,20,?,2014; 2015,New,Second-hand; Penguin-2 Mod-7 version for SH-2G helicopters; sold via Norwegian producer,0.4,8,8
New Zealand,Australia,2004,,2,,Tenix-1600,patrol ship,2,,2010,New,Part of NZD500 m ($317 m) 'Project Protector'; partly produced in New Zealand and assembled in Australia; New Zealand designation Otago,33,66,66
New Zealand,Australia,2004,,4,,Tenix-340,patrol boat,4,,2009,New,Part of NZD500 m ($317 m) 'Project Protector'; produced under licence in New Zealand,14,56,56
New Zealand,Australia,1988,,1,,ASI-315,patrol boat,1,,1989,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; for Cook Islands; Cook Islands designation Te Kukupa,6,6,6
New Zealand,Australia,1984,,10,,A-4E Skyhawk,FGA aircraft,10,,1984,Second hand,Second-hand; $23 m deal; A-4G version; incl 2 TA-4G; New Zealand designation A-4K,3.6,36,36
New Zealand,Australia,1952,,4,,Bathurst,corvette/minesweeper,4,,1952,Second hand,Second-hand; aid,9,36,36
Oman,Australia,2014,,2,,HSSV-72,transport ship,2,,2016,New,AUD125 m deal,20,40,40
Pakistan,Australia,1990,,45,,Mirage-3E,FGA aircraft,45,?,1990; 1991,Second hand,Second-hand; $28 m deal; Mirage-3OA version; incl some Mirage-3OD; modernized in Pakistan after delivery; 5 more for for spares only,4.8,216,216
Papua New Guinea,Australia,1989,,4,,Bell-205A-1,helicopter,4,?,1990,Second hand,Second-hand; part of $1.1 m aid,1.05,4.19,4.19
Papua New Guinea,Australia,1983,,1,,Nomad Searchmaster-B,maritime patrol aircraft,1,,1984,New,Aid,2,2,2
Papua New Guinea,Australia,1985,,4,,ASI-315,patrol boat,4,,1987; 1988; 1989,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Papua New Guinean designation Tarangau,6,24,24
Papua New Guinea,Australia,2014,,1,,Balikpapan,landing craft,1,,2014,Second hand,Second-hand; for training; aid,3.2,3.2,3.2
Papua New Guinea,Australia,1977,,3,,Nomad,light transport aircraft,3,,1977; 1978,New,$1.3 m aid,1.5,4.5,4.5
Papua New Guinea,Australia,1975,?,5,,Attack,patrol boat,5,,1975,Second hand,Second-hand; aid upon independence,2.4,12,12
Papua New Guinea,Australia,1975,,2,,Balikpapan,landing craft,2,,1975,New,Aid upon independence,8,16,16
Papua New Guinea,Australia,1974,,4,,C-47 Skytrain,transport aircraft,4,,1975,Second hand,Second-hand; aid upon independence,1,4,4
Papua New Guinea,Australia,2014,,4,,Guardian,patrol boat,4,,2018; 2021; 2023,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Papuan designation Ted Diro,7,28,28
